#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P0DTD1-PRO_0000449632	uniprotkb:P46087	intact:EBI-25475891	intact:EBI-356811|uniprotkb:Q05BA7|uniprotkb:Q3KQS4|uniprotkb:A1A4Z3|uniprotkb:Q0P5S5|uniprotkb:Q58F30|uniprotkb:B3KPD6	psi-mi:p0dtd1-pro_0000449632(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:nop2_human(display_long)|uniprotkb:NOP2(gene name)|psi-mi:NOP2(display_short)|uniprotkb:NSUN1(gene name synonym)|uniprotkb:Proliferating-cell nucleolar antigen p120(gene name synonym)|uniprotkb:Proliferation-associated nucleolar protein p120(gene name synonym)|uniprotkb:NOL1(gene name synonym)|uniprotkb:Nucleolar protein 2 homolog(gene name synonym)|uniprotkb:Nucleolar protein 1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25509874|imex:IM-27901-15	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449632	uniprotkb:P62269	intact:EBI-25475891	intact:EBI-352451|uniprotkb:Q5SUJ3|uniprotkb:P25232|uniprotkb:Q6IPF8	psi-mi:p0dtd1-pro_0000449632(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:rs18_human(display_long)|uniprotkb:RPS18(gene name)|psi-mi:RPS18(display_short)|uniprotkb:D6S218E(gene name synonym)|uniprotkb:Ke-3(gene name synonym)|uniprotkb:Small ribosomal subunit protein uS13(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25509874|imex:IM-27901-15	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449632	uniprotkb:P08708	intact:EBI-25475891	intact:EBI-358255|intact:EBI-11603362|intact:MINT-8395037|uniprotkb:P0CW22|uniprotkb:B2R4U4|intact:EBI-8012092	psi-mi:p0dtd1-pro_0000449632(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:rs17_human(display_long)|uniprotkb:RPS17(gene name)|psi-mi:RPS17(display_short)|uniprotkb:Small ribosomal subunit protein eS17(gene name synonym)|uniprotkb:RPS17L(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25509874|imex:IM-27901-15	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449632	uniprotkb:P63244	intact:EBI-25475891	intact:EBI-296739|uniprotkb:D3DWS0|intact:EBI-923003|uniprotkb:B3KTJ0|uniprotkb:Q53HU2|uniprotkb:Q5J8M6|uniprotkb:Q5VLR4|uniprotkb:Q6FH47|intact:EBI-2559282|uniprotkb:P25388|uniprotkb:P99049	psi-mi:p0dtd1-pro_0000449632(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:rack1_human(display_long)|uniprotkb:Small ribosomal subunit protein RACK1(gene name synonym)|uniprotkb:HLC7(orf name)|uniprotkb:PIG21(orf name)|uniprotkb:RACK1(gene name)|psi-mi:RACK1(display_short)|uniprotkb:Cell proliferation-inducing gene 21 protein(gene name synonym)|uniprotkb:GNB2L1(gene name synonym)|uniprotkb:Guanine nucleotide-binding protein subunit beta-2-like 1(gene name synonym)|uniprotkb:Guanine nucleotide-binding protein subunit beta-like protein 12.3(gene name synonym)|uniprotkb:Human lung cancer oncogene 7 protein(gene name synonym)|uniprotkb:Receptor for activated C kinase(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25509874|imex:IM-27901-15	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449632	uniprotkb:P42285	intact:EBI-25475891	intact:EBI-347612|uniprotkb:Q2M386|uniprotkb:Q6MZZ8|uniprotkb:Q6P170|uniprotkb:Q8N5R0|uniprotkb:Q8TAG2	psi-mi:p0dtd1-pro_0000449632(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:mtrex_human(display_long)|uniprotkb:MTREX(gene name)|psi-mi:MTREX(display_short)|uniprotkb:DOB1(gene name synonym)|uniprotkb:KIAA0052(gene name synonym)|uniprotkb:MTR4(gene name synonym)|uniprotkb:SKIV2L2(gene name synonym)|uniprotkb:Superkiller viralicidic activity 2-like 2(gene name synonym)|uniprotkb:TRAMP-like complex helicase(gene name synonym)|uniprotkb:ATP-dependent RNA helicase DOB1(gene name synonym)|uniprotkb:ATP-dependent RNA helicase SKIV2L2(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25509874|imex:IM-27901-15	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449632	uniprotkb:Q99848	intact:EBI-25475891	intact:EBI-1048111|uniprotkb:Q96A66	psi-mi:p0dtd1-pro_0000449632(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:ebp2_human(display_long)|uniprotkb:EBNA1-binding protein 2(gene name synonym)|uniprotkb:Nucleolar protein p40(gene name synonym)|uniprotkb:EBNA1BP2(gene name)|psi-mi:EBNA1BP2(display_short)|uniprotkb:EBP2(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25509874|imex:IM-27901-15	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449632	uniprotkb:Q12789	intact:EBI-25475891	intact:EBI-357956|uniprotkb:Q9Y4W9|uniprotkb:B2RP21|uniprotkb:Q12838|uniprotkb:Q6DKN9	psi-mi:p0dtd1-pro_0000449632(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:tf3c1_human(display_long)|uniprotkb:GTF3C1(gene name)|psi-mi:GTF3C1(display_short)|uniprotkb:Transcription factor IIIC subunit alpha(gene name synonym)|uniprotkb:TF3C-alpha(gene name synonym)|uniprotkb:Transcription factor IIIC 220 kDa subunit(gene name synonym)|uniprotkb:TFIIIC box B-binding subunit(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25509874|imex:IM-27901-15	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449632	uniprotkb:P46783	intact:EBI-25475891	intact:EBI-354442|uniprotkb:Q5TZC0|uniprotkb:B2R4E3	psi-mi:p0dtd1-pro_0000449632(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:rs10_human(display_long)|uniprotkb:RPS10(gene name)|psi-mi:RPS10(display_short)|uniprotkb:Small ribosomal subunit protein eS10(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25509874|imex:IM-27901-15	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449632	uniprotkb:Q9P015	intact:EBI-25475891	intact:EBI-2371967|uniprotkb:Q96Q54|uniprotkb:Q9H0Y1	psi-mi:p0dtd1-pro_0000449632(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:rm15_human(display_long)|uniprotkb:MRPL15(gene name)|psi-mi:MRPL15(display_short)|uniprotkb:Mitochondrial large ribosomal subunit protein uL15m(gene name synonym)|uniprotkb:HSPC145(orf name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25509874|imex:IM-27901-15	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449632	uniprotkb:Q13243	intact:EBI-25475891	intact:EBI-720503|uniprotkb:Q6FGE0|uniprotkb:O14797|uniprotkb:Q16662|uniprotkb:Q49AD6	psi-mi:p0dtd1-pro_0000449632(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:srsf5_human(display_long)|uniprotkb:Pre-mRNA-splicing factor SRP40(gene name synonym)|uniprotkb:Delayed-early protein HRS(gene name synonym)|uniprotkb:SRSF5(gene name)|psi-mi:SRSF5(display_short)|uniprotkb:HRS(gene name synonym)|uniprotkb:SRP40(gene name synonym)|uniprotkb:SFRS5(gene name synonym)|uniprotkb:Splicing factor, arginine/serine-rich 5(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25509874|imex:IM-27901-15	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449632	uniprotkb:Q1KMD3	intact:EBI-25475891	intact:EBI-1059150|uniprotkb:Q8N3B3	psi-mi:p0dtd1-pro_0000449632(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:hnrl2_human(display_long)|uniprotkb:HNRNPUL2(gene name)|psi-mi:HNRNPUL2(display_short)|uniprotkb:HNRPUL2(gene name synonym)|uniprotkb:Scaffold-attachment factor A2(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25509874|imex:IM-27901-15	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449632	uniprotkb:P46782	intact:EBI-25475891	intact:EBI-350569|uniprotkb:B2R4T2|uniprotkb:Q96BN0	psi-mi:p0dtd1-pro_0000449632(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:rs5_human(display_long)|uniprotkb:RPS5(gene name)|psi-mi:RPS5(display_short)|uniprotkb:Small ribosomal subunit protein uS7(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25509874|imex:IM-27901-15	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449632	uniprotkb:O60293	intact:EBI-25475891	intact:EBI-746701|intact:EBI-2874127|uniprotkb:Q6GMU1|uniprotkb:Q6P2S9|uniprotkb:Q6ZV36|uniprotkb:Q96BE7	psi-mi:p0dtd1-pro_0000449632(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:zc3h1_human(display_long)|uniprotkb:Proline/serine-rich coiled-coil protein 2(gene name synonym)|uniprotkb:ZFC3H1(gene name)|psi-mi:ZFC3H1(display_short)|uniprotkb:KIAA0546(gene name synonym)|uniprotkb:PSRC2(gene name synonym)|uniprotkb:CCDC131(gene name synonym)|uniprotkb:Coiled-coil domain-containing protein 131(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25509874|imex:IM-27901-15	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449632	uniprotkb:Q86UE4	intact:EBI-25475891	intact:EBI-1046588|uniprotkb:Q05DH2|uniprotkb:Q52QU9|uniprotkb:Q8TCX3|uniprotkb:Q6PK07	psi-mi:p0dtd1-pro_0000449632(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:lyric_human(display_long)|uniprotkb:Lysine-rich CEACAM1 co-isolated protein(gene name synonym)|uniprotkb:3D3/LYRIC(gene name synonym)|uniprotkb:Metastasis adhesion protein(gene name synonym)|uniprotkb:Astrocyte elevated gene-1 protein(gene name synonym)|uniprotkb:MTDH(gene name)|psi-mi:MTDH(display_short)|uniprotkb:AEG1(gene name synonym)|uniprotkb:LYRIC(gene name synonym)|uniprotkb:Metadherin(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25509874|imex:IM-27901-15	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449632	uniprotkb:O60832	intact:EBI-25475891	intact:EBI-713091|uniprotkb:F5BSB3|uniprotkb:O43845|uniprotkb:Q96G67|uniprotkb:Q9Y505	psi-mi:p0dtd1-pro_0000449632(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:dkc1_human(display_long)|uniprotkb:Dyskerin(gene name synonym)|uniprotkb:Nucleolar protein family A member 4(gene name synonym)|uniprotkb:snoRNP protein DKC1(gene name synonym)|uniprotkb:Nopp140-associated protein of 57 kDa(gene name synonym)|uniprotkb:Nucleolar protein NAP57(gene name synonym)|uniprotkb:CBF5 homolog(gene name synonym)|uniprotkb:DKC1(gene name)|psi-mi:DKC1(display_short)|uniprotkb:NOLA4(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25509874|imex:IM-27901-15	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449632	uniprotkb:P26599	intact:EBI-25475891	intact:EBI-350540|intact:EBI-744534|uniprotkb:Q9BUQ0	psi-mi:p0dtd1-pro_0000449632(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:ptbp1_human(display_long)|uniprotkb:PTBP1(gene name)|psi-mi:PTBP1(display_short)|uniprotkb:PTB(gene name synonym)|uniprotkb:Heterogeneous nuclear ribonucleoprotein I(gene name synonym)|uniprotkb:57 kDa RNA-binding protein PPTB-1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25509874|imex:IM-27901-15	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449632	uniprotkb:Q7Z2T5	intact:EBI-25475891	intact:EBI-1237316|uniprotkb:Q5TEN0|uniprotkb:Q6ZMX0|uniprotkb:Q8IWH5|uniprotkb:Q8NC68|uniprotkb:Q9BZQ1	psi-mi:p0dtd1-pro_0000449632(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:trm1l_human(display_long)|uniprotkb:TRMT1L(gene name)|psi-mi:TRMT1L(display_short)|uniprotkb:C1orf25(gene name synonym)|uniprotkb:MSTP070(orf name)|uniprotkb:TRM1L(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25509874|imex:IM-27901-15	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449632	uniprotkb:O43395	intact:EBI-25475891	intact:EBI-744322|uniprotkb:B4DSY9|uniprotkb:O43446|uniprotkb:Q5VT54	psi-mi:p0dtd1-pro_0000449632(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:prpf3_human(display_long)|uniprotkb:Pre-mRNA-splicing factor 3(gene name synonym)|uniprotkb:U4/U6 snRNP 90 kDa protein(gene name synonym)|uniprotkb:PRPF3(gene name)|psi-mi:PRPF3(display_short)|uniprotkb:HPRP3(gene name synonym)|uniprotkb:PRP3(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25509874|imex:IM-27901-15	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449632	uniprotkb:Q2NL82	intact:EBI-25475891	intact:EBI-358058|uniprotkb:Q8WUY5|uniprotkb:Q9NVT0|uniprotkb:Q9P2E6|intact:EBI-2558422|intact:EBI-1048757|intact:EBI-1210739	psi-mi:p0dtd1-pro_0000449632(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:tsr1_human(display_long)|uniprotkb:TSR1(gene name)|psi-mi:TSR1(display_short)|uniprotkb:KIAA1401(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25509874|imex:IM-27901-15	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449632	uniprotkb:O75569	intact:EBI-25475891	intact:EBI-713955|uniprotkb:Q53G24|uniprotkb:Q6X7T5|uniprotkb:Q8NDK4|uniprotkb:A8K3I6	psi-mi:p0dtd1-pro_0000449632(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:prkra_human(display_long)|uniprotkb:Protein activator of the interferon-induced protein kinase(gene name synonym)|uniprotkb:PKR-associated protein X(gene name synonym)|uniprotkb:PKR-associating protein X(gene name synonym)|uniprotkb:HSD-14(orf name)|uniprotkb:PRKRA(gene name)|psi-mi:PRKRA(display_short)|uniprotkb:RAX(gene name synonym)|uniprotkb:PACT(gene name synonym)|uniprotkb:HSD14(orf name)|uniprotkb:Protein kinase, interferon-inducible double-stranded RNA-dependent activator(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25509874|imex:IM-27901-15	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449632	uniprotkb:Q9NX58	intact:EBI-25475891	intact:EBI-713507|uniprotkb:D3DVS4|uniprotkb:Q6FI78|uniprotkb:Q9NYS1	psi-mi:p0dtd1-pro_0000449632(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:lyar_human(display_long)|uniprotkb:LYAR(gene name)|psi-mi:LYAR(display_short)|uniprotkb:PNAS-5(orf name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25509874|imex:IM-27901-15	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449632	uniprotkb:Q8N9T8	intact:EBI-25475891	intact:EBI-724923|uniprotkb:Q2M1R5|uniprotkb:Q2M1R7|uniprotkb:Q7L5J7|uniprotkb:Q96G92|uniprotkb:Q9BU50|uniprotkb:Q9H6I1|uniprotkb:Q9H978	psi-mi:p0dtd1-pro_0000449632(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:kri1_human(display_long)|uniprotkb:KRI1(gene name)|psi-mi:KRI1(display_short)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25509874|imex:IM-27901-15	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449632	uniprotkb:Q9UJV9	intact:EBI-25475891	intact:EBI-1046350|uniprotkb:B2RDC8|uniprotkb:Q96BK6|uniprotkb:Q96K05|uniprotkb:Q9NT96|uniprotkb:Q9NW04	psi-mi:p0dtd1-pro_0000449632(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:ddx41_human(display_long)|uniprotkb:DEAD box protein 41(gene name synonym)|uniprotkb:DEAD box protein abstrakt homolog(gene name synonym)|uniprotkb:DDX41(gene name)|psi-mi:DDX41(display_short)|uniprotkb:ABS(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25509874|imex:IM-27901-15	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449632	uniprotkb:Q9UKD2	intact:EBI-25475891	intact:EBI-1046493|uniprotkb:B3KNB3|uniprotkb:Q9BPV9|uniprotkb:Q5TG55|uniprotkb:Q96SS6	psi-mi:p0dtd1-pro_0000449632(display_long)|uniprotkb:rep(gene name)|psi-mi:rep(display_short)|uniprotkb:ORF1ab polyprotein(gene name synonym)|uniprotkb:1a-1b(orf name)	psi-mi:mrt4_human(display_long)|uniprotkb:MRTO4(gene name)|psi-mi:MRTO4(display_short)|uniprotkb:C1orf33(gene name synonym)|uniprotkb:MRT4(gene name synonym)|uniprotkb:Ribosome assembly factor MRTO4(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Liang et al. (2020)	pubmed:unassigned2359|imex:IM-27901	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25509874|imex:IM-27901-15	intact-miscore:0.35
